Linux 5.15.0-171-generic (test1orca) 	03/23/26 	_x86_64_	(4 CPU)

13:38:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:41:27     all    2.03    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.19
13:41:28     all    0.75    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.24
13:41:29     all    1.27    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   97.97
13:41:30     all    2.77    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.21
13:41:31     all    1.76    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   95.72
13:41:32     all    2.26    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   95.49
13:41:33     all    2.03    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   95.70
13:41:34     all    1.50    0.00   10.03    0.00    0.00   13.53    0.00    0.00    0.00   74.94
13:41:35     all    2.02    0.00    5.81    0.00    0.00   25.76    0.00    0.00    0.00   66.41
13:41:36     all    1.52    0.00    5.56    0.00    0.00   25.25    0.00    0.00    0.00   67.68
13:41:37     all    1.26    0.00    6.05    0.00    0.00   25.19    0.00    0.00    0.00   67.51
13:41:38     all    1.53    0.00    6.11    0.00    0.00   25.70    0.00    0.00    0.00   66.67
13:41:39     all    0.25    0.00    5.79    0.00    0.00   25.69    0.00    0.00    0.00   68.26
13:41:40     all    1.79    0.00    6.39    0.00    0.00   26.34    0.00    0.00    0.00   65.47
13:41:41     all    1.28    0.00    6.41    0.00    0.00   25.90    0.00    0.00    0.00   66.41
13:41:42     all    2.04    0.00    6.12    0.00    0.00   25.77    0.00    0.00    0.00   66.07
13:41:43     all    2.53    0.00    7.09    0.25    0.00   26.08    0.00    0.00    0.00   64.05
13:41:44     all    2.04    0.00    6.12    0.00    0.00   26.53    0.00    0.00    0.00   65.31
13:41:45     all    2.51    0.00    8.02    0.00    0.00   25.56    0.00    0.00    0.00   63.91
13:41:46     all    1.25    0.00    8.50    0.00    0.00   25.50    0.00    0.00    0.00   64.75
13:41:47     all    2.05    0.00    5.90    0.00    0.00   25.90    0.00    0.00    0.00   66.15
13:41:48     all    1.76    0.00    7.79    0.00    0.00   25.38    0.00    0.00    0.00   65.08
13:41:49     all    0.51    0.00    7.58    0.00    0.00   25.76    0.00    0.00    0.00   66.16
13:41:50     all    2.77    0.00   11.08    0.00    0.00   26.20    0.00    0.00    0.00   59.95
13:41:51     all    3.28    0.00    9.85    0.00    0.00   26.77    0.00    0.00    0.00   60.10
13:41:52     all    1.27    0.00   10.41    0.00    0.00   25.89    0.25    0.00    0.00   62.18
13:41:53     all    2.52    0.00    7.56    0.00    0.00   25.44    0.00    0.00    0.00   64.48
13:41:54     all    2.04    0.00    6.89    0.00    0.00   25.51    0.00    0.00    0.00   65.56
13:41:55     all    2.47    0.00    7.41    0.00    0.00   25.19    0.00    0.00    0.00   64.94
13:41:56     all    1.52    0.00    5.82    0.00    0.00   25.57    0.00    0.00    0.00   67.09
13:41:57     all    1.74    0.00    7.96    0.00    0.00   24.88    0.00    0.00    0.00   65.42
13:41:58     all    1.25    0.00    7.02    0.25    0.00   25.81    0.00    0.00    0.00   65.66
13:41:59     all    0.50    0.00    5.96    0.00    0.00   25.06    0.00    0.00    0.00   68.49
13:42:00     all    1.28    0.00    5.12    0.00    0.00   25.58    0.00    0.00    0.00   68.03
13:42:01     all    1.75    0.00    7.48    0.00    0.00   25.44    0.00    0.00    0.00   65.34
13:42:02     all    2.24    0.00    7.23    0.00    0.00   25.44    0.00    0.00    0.00   65.09
13:42:03     all    1.76    0.00    9.05    0.00    0.00   25.38    0.00    0.00    0.00   63.82
13:42:04     all    2.74    0.00    9.73    0.00    0.00   25.94    0.00    0.00    0.00   61.60
13:42:05     all    2.46    0.00    9.61    0.00    0.00   26.35    0.00    0.00    0.00   61.58
13:42:06     all    2.02    0.00    8.56    0.00    0.00   26.20    0.00    0.00    0.00   63.22
