Linux 5.15.0-171-generic (test1orca) 	03/24/26 	_x86_64_	(4 CPU)

15:32:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:34:49     all    1.76    0.00    2.76    0.00    0.00    0.25    0.00    0.00    0.00   95.23
15:34:50     all    2.27    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.45
15:34:51     all    2.51    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   95.48
15:34:52     all    1.76    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   95.73
15:34:53     all    1.77    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   96.46
15:34:54     all    1.51    0.00    3.02    0.00    0.00    0.25    0.00    0.00    0.00   95.23
15:34:55     all    2.52    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.47
15:34:56     all    2.27    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   95.96
15:34:57     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:34:58     all    2.01    0.00    1.76    0.25    0.00    0.00    0.00    0.00    0.00   95.98
15:34:59     all    1.78    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.45
15:35:00     all    2.27    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.47
15:35:01     all    2.03    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   95.95
15:35:02     all    1.50    0.00    3.01    0.00    0.00    0.25    0.00    0.00    0.00   95.24
15:35:03     all    1.76    0.00    2.02    0.00    0.00    0.50    0.00    0.00    0.00   95.72
15:35:04     all    2.03    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.19
15:35:05     all    2.27    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.72
15:35:06     all    1.52    0.00    1.52    0.00    0.00    0.25    0.00    0.00    0.00   96.70
15:35:07     all    0.25    0.00    1.24    0.00    0.00    0.00    0.00    0.00    0.00   98.51
15:35:08     all    1.78    0.00    2.28    0.00    0.00    0.25    0.00    0.00    0.00   95.69
15:35:09     all    2.03    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.95
15:35:10     all    1.75    0.00    3.01    0.00    0.00    0.00    0.00    0.00    0.00   95.24
15:35:11     all    1.51    0.00    2.77    0.00    0.00    0.00    0.00    0.00    0.00   95.72
15:35:12     all    2.51    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   95.73
15:35:13     all    2.02    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   95.47
15:35:14     all    2.51    0.00    2.01    0.00    0.00    0.25    0.00    0.00    0.00   95.23
15:35:15     all    2.53    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.45
15:35:16     all    0.76    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   97.98
15:35:17     all    1.51    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.48
15:35:18     all    2.25    0.00    2.25    0.25    0.00    0.25    0.00    0.00    0.00   95.00
15:35:19     all    1.76    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.22
15:35:20     all    2.51    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   94.99
15:35:21     all    1.77    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.71
15:35:22     all    2.76    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   94.72
15:35:23     all    1.76    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   94.97
15:35:24     all    2.27    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.20
15:35:25     all    2.49    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.51
15:35:26     all    1.01    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.48
15:35:27     all    1.76    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   96.48
15:35:28     all    2.03    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.19
15:35:29     all    2.52    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   94.96
15:35:30     all    2.52    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.21
15:35:31     all    1.77    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   96.46
15:35:32     all    2.02    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.72
